Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Dec. 31, 2024","Dec. 31, 2024",Hike,1998,15.844619324160002,13400,14.095246261830907,7.998724946313529,4.25676316032,7.50120066432,,18829,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8340216139
"Dec. 29, 2024","Dec. 29, 2024",Hike,825,5.995208736,5536,15.390059552215064,4.499647061162809,3.898619746559999,13.3343806464,,7709,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8337176620
"Dec. 28, 2024","Dec. 28, 2024",Hike,1205,8.67948187392,8085,15.525083512288235,6.971598365545216,3.8647108684799996,8.606369375999998,,11004,b'',Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/8335861150
